title,pubDate,guid,link,description
England v New Zealand: Stuart Broad has 'good feeling' for home side,"Sat, 04 Jun 2022 19:14:31 GMT",https://www.bbc.co.uk/sport/cricket/61690330,https://www.bbc.co.uk/sport/cricket/61690330?at_medium=RSS&at_campaign=KARANGA,"Pace bowler Stuart Broad has a ""really good feeling"" England can complete victory in a thrilling first Test against New Zealand."
Qatar World Cup 2022: Wales and Ukraine set for momentous play-off final in Cardiff,"Sat, 04 Jun 2022 17:10:22 GMT",https://www.bbc.co.uk/sport/football/60869800,https://www.bbc.co.uk/sport/football/60869800?at_medium=RSS&at_campaign=KARANGA,Wales aim to end their 64-year wait for World Cup qualification as they host Ukraine in Sunday's play-off final in Cardiff.
England v New Zealand highlights: Root & Stokes gives England hope,"Sat, 04 Jun 2022 19:03:04 GMT",https://www.bbc.co.uk/sport/av/cricket/61692823,https://www.bbc.co.uk/sport/av/cricket/61692823?at_medium=RSS&at_campaign=KARANGA,Watch highlights as Joe Root and Ben Stokes give England hope of a stunning victory on a gripping third day of the first Test against New Zealand at Lord's.
Sadio Mane: Liverpool forward jokingly puts future in Senegal fans' hands,"Sat, 04 Jun 2022 11:46:39 GMT",https://www.bbc.co.uk/sport/av/football/61690691,https://www.bbc.co.uk/sport/av/football/61690691?at_medium=RSS&at_campaign=KARANGA,"Liverpool forward Sadio Mane jokes that he ""would do what the Senegalese want"" in response to rumours he may leave the club this summer."
French Open: Iga Swiatek and Coco Gauff represent Gen Z in speaking out,"Sat, 04 Jun 2022 20:24:55 GMT",https://www.bbc.co.uk/sport/tennis/61692619,https://www.bbc.co.uk/sport/tennis/61692619?at_medium=RSS&at_campaign=KARANGA,"Iga Swiatek uses her French Open victory speech to urge Ukraine to ""stay strong"", days after her opponent Coco Gauff calls for an end to gun violence."
Watch Emma Raducanu in the Nottingham Open on the BBC,"Thu, 02 Jun 2022 11:39:17 GMT",https://www.bbc.co.uk/sport/tennis/61646206,https://www.bbc.co.uk/sport/tennis/61646206?at_medium=RSS&at_campaign=KARANGA,Emma Raducanu starts her grass-court season at the Nottingham Open and you can watch live on the BBC.
"Platinum Jubilee concert: Queen, Diana Ross and Duran Duran lead royal singalong","Sun, 05 Jun 2022 00:28:55 GMT",https://www.bbc.co.uk/news/entertainment-arts-61693728,https://www.bbc.co.uk/news/entertainment-arts-61693728?at_medium=RSS&at_campaign=KARANGA,"Stars of the stage, screen and the sporting world perform at the Platinum Party at the Palace."
In pictures: Stars throw Party at the Palace for Queen's Platinum Jubilee,"Sat, 04 Jun 2022 22:58:19 GMT",https://www.bbc.co.uk/news/entertainment-arts-61693645,https://www.bbc.co.uk/news/entertainment-arts-61693645?at_medium=RSS&at_campaign=KARANGA,Performers from Diana Ross and Sir Rod Stewart to Jason Donovan and Sam Ryder played outside the palace.
Platinum Jubilee Pageant: Dancer Janice Ho reflects on playing the Queen,"Sat, 04 Jun 2022 23:12:16 GMT",https://www.bbc.co.uk/news/uk-61645988,https://www.bbc.co.uk/news/uk-61645988?at_medium=RSS&at_campaign=KARANGA,Singaporean dancer Janice Ho speaks to the BBC about portraying the Queen at the Jubilee Pageant.
Platinum Jubilee: 'How the Queen inspired my corgi love',"Thu, 02 Jun 2022 23:03:14 GMT",https://www.bbc.co.uk/news/uk-61662397,https://www.bbc.co.uk/news/uk-61662397?at_medium=RSS&at_campaign=KARANGA,They're the Queen's favourite dogs - and some people just can't get enough.
Charlotte conducts orchestra at Cardiff rehearsal,"Sat, 04 Jun 2022 17:33:03 GMT",https://www.bbc.co.uk/news/uk-61692277,https://www.bbc.co.uk/news/uk-61692277?at_medium=RSS&at_campaign=KARANGA,"The Duke and Duchess of Cambridge was in Cardiff with the princess and her brother, Prince George."
